Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
32.3,3.3871,0.8953,2.8151
32.4,3.3976,0.897,2.8274
32.5,3.4082,0.8983,2.8397
32.6,3.4188,0.8999,2.8513
32.7,3.4292,0.9013,2.8644
32.8,3.4397,0.9031,2.876
32.9,3.4503,0.9045,2.8877
33,3.4607,0.9062,2.9006
33.1,3.4712,0.9076,2.912
33.2,3.4817,0.9092,2.9241
33.3,3.4922,0.9108,2.9367
33.4,3.5026,0.9121,2.9483
33.5,3.5132,0.9136,2.9603
33.6,3.5236,0.9152,2.973
33.7,3.5342,0.9168,2.9843
33.8,3.5446,0.9181,2.9967
33.9,3.5552,0.9197,3.0085
34,3.5656,0.9212,3.0199
34.1,3.5762,0.9228,3.0335
34.2,3.5867,0.9243,3.0454
34.3,3.5972,0.9257,3.0568
34.4,3.6076,0.9272,3.0695
34.5,3.6181,0.9287,3.081
34.6,3.6286,0.9302,3.0932
34.7,3.6391,0.9317,3.1061
34.8,3.6496,0.9332,3.1175
34.9,3.6602,0.9346,3.1299
35,3.6707,0.9361,3.1429
35.1,3.6812,0.9374,3.154
35.2,3.6918,0.9389,3.1669
35.3,3.7021,0.9404,3.1793
35.4,3.7127,0.9419,3.1906
35.5,3.7233,0.9434,3.2039
35.6,3.7338,0.9448,3.2156
35.7,3.7442,0.9459,3.227
35.8,3.7547,0.9475,3.2408
35.9,3.7651,0.9489,3.2522
36,3.7757,0.9505,3.2642
36.1,3.7861,0.9517,3.2775
36.2,3.7966,0.9532,3.2884
36.3,3.8071,0.9547,3.3008
36.4,3.8177,0.9561,3.3136
36.5,3.8282,0.9575,3.3251
36.6,3.8387,0.9588,3.3388
36.7,3.8492,0.9602,3.3505
36.8,3.8597,0.9617,3.362
36.9,3.8702,0.9629,3.3751
37,3.8806,0.9643,3.3875
37.1,3.8911,0.9658,3.399
37.2,3.9016,0.9673,3.4123
37.3,3.9121,0.9684,3.4243
37.4,3.9226,0.9697,3.4361
37.5,3.9332,0.9712,3.4493
37.6,3.9437,0.9725,3.4612
37.7,3.9543,0.974,3.4739
37.8,3.9647,0.9751,3.4864
37.9,3.9752,0.9765,3.4979
38,3.9857,0.9781,3.5109
38.1,3.9963,0.9793,3.5235
38.2,4.0066,0.9806,3.5349
38.3,4.0172,0.9822,3.5484
38.4,4.0277,0.9833,3.56
38.5,4.0382,0.9845,3.5721
38.6,4.0487,0.986,3.5856
38.7,4.0592,0.9874,3.5973
38.8,4.0696,0.9886,3.6096
38.9,4.0802,0.99,3.623
39,4.0907,0.9913,3.6343
39.1,4.1012,0.9925,3.6472
39.2,4.1117,0.994,3.66
39.3,4.1222,0.9951,3.6716
39.4,4.1327,0.9967,3.6846
39.5,4.1432,0.9977,3.6967
39.6,4.1536,0.999,3.709
39.7,4.1641,1.0002,3.7223
39.8,4.1746,1.0015,3.7341
39.9,4.185,1.0028,3.7459
40,4.1957,1.0042,3.7597
40.1,4.2062,1.0054,3.7717
40.2,4.2167,1.0067,3.7835
40.3,4.2271,1.0078,3.7972
40.4,4.2377,1.0092,3.8092
40.5,4.2481,1.0105,3.8215
40.6,4.2588,1.0118,3.8348
40.7,4.2692,1.013,3.8465
40.8,4.2797,1.0142,3.8596
40.9,4.2901,1.0153,3.8722
41,4.3007,1.0168,3.884
41.1,4.3112,1.0181,3.8973
41.2,4.3217,1.0192,3.9096
41.3,4.3322,1.0203,3.9219
41.4,4.3426,1.0215,3.9354
41.5,4.3532,1.023,3.9475
41.6,4.3637,1.024,3.96
41.7,4.3742,1.0252,3.9735
41.8,4.3847,1.0263,3.9852
41.9,4.3952,1.0278,3.9974
42,4.4057,1.0288,4.0106
42.1,4.4161,1.0299,4.0227
42.2,4.4265,1.0312,4.0354
42.3,4.4371,1.0323,4.0485
42.4,4.4476,1.0334,4.0606
42.5,4.4581,1.0347,4.0736
42.6,4.4686,1.036,4.0865
42.7,4.4792,1.0372,4.0986
42.8,4.4896,1.0383,4.1124
42.9,4.5002,1.0396,4.1246
43,4.5107,1.0405,4.1371
43.1,4.5212,1.0419,4.1507
43.2,4.5317,1.043,4.1625
43.3,4.5423,1.0442,4.1753
43.4,4.5527,1.0453,4.189
43.5,4.5632,1.0464,4.2008
43.6,4.5738,1.0475,4.2132
43.7,4.5842,1.0488,4.2272
43.8,4.5947,1.0499,4.2389
43.9,4.6052,1.0508,4.2521
